Text_ID,Source,Raw_Text,Crime_Type,Location_Entity,Sentiment,Entities,Topic,Severity_Label,Tokens
TXT_011,CrimeReport / Kaggle,"{""lang"": ""en"", ""favorited"": false, ""truncated"": false, ""text"": ""#NRAadvice: Don\u2019t cooperate with police if your gun shows up at a crime scene: ht...",Unknown,Unknown,Negative,"PERSON: NRAadvice | DATE: Fri Jan 31, +0000 2014, 250386727",Public Disturbance,Low,"lang, en, favorited, false, truncated, false, text, cooperate, police, gun"
TXT_012,CrimeReport / Kaggle,"{""lang"": ""en"", ""favorited"": false, ""truncated"": false, ""text"": ""#Police : Become a Special Constable and help cut crime http://t.co/taxFZeQ4Vx Devon C...",Unknown,Cornwall,Negative,"PERSON: Devon Cornwall, Devon | DATE: Fri Jan 31, 82324228, 23498 | GPE: Cornwall, England",Public Disturbance,Low,"lang, en, favorited, false, truncated, false, text, become, special, constable"
TXT_013,CrimeReport / Kaggle,"{""lang"": ""en"", ""favorited"": false, ""truncated"": false, ""text"": ""BREAKING NEWS: Judge\u2019s ruling favors officers in Badger Guns suit: http://t.co/Qc...",Unknown,Washington,Negative,"ORG: Badger Guns, href=\""https://about.twitter.com | DATE: Thu Jan 30, 17570, 20285C | GPE: Washington, D.C., America",Public Disturbance,Low,"lang, en, favorited, false, truncated, false, text, breaking, news, ruling"
TXT_014,CrimeReport / Kaggle,"{""lang"": ""en"", ""favorited"": false, ""truncated"": false, ""text"": ""Woman police sergeant dives in river to drag drowning woman to safety http://t.co/WKSZ...",Disturbance,North Yorkshire,Negative,"DATE: Fri Jan 31, +0000 2014, 15438913 | GPE: North Yorkshire, London | PERSON: Mike",Public Disturbance,Medium,"lang, en, favorited, false, truncated, false, text, woman, police, sergeant"
TXT_015,CrimeReport / Kaggle,"{""lang"": ""en"", ""favorited"": false, ""retweeted_status"": {""lang"": ""en"", ""favorited"": false, ""truncated"": false, ""text"": ""So AAP will continue to cry fou...",Unknown,Delhi,Negative,"GPE: Delhi | DATE: Fri Jan 31, +0000 2014, 318201824",Public Disturbance,Low,"lang, en, favorited, false, retweetedstatus, lang, en, favorited, false, truncated"
TXT_016,CrimeReport / Kaggle,"{""lang"": ""en"", ""favorited"": false, ""retweeted_status"": {""lang"": ""en"", ""favorited"": false, ""truncated"": false, ""text"": ""Crime/Lawlessness has always be...",Robbery,Delhi,Negative,"GPE: Delhi, France | PERSON: Delhi Police",Public Disturbance,Low,"lang, en, favorited, false, retweetedstatus, lang, en, favorited, false, truncated"
TXT_017,CrimeReport / Kaggle,"{""lang"": ""en"", ""favorited"": false, ""retweeted_status"": {""lang"": ""en"", ""favorited"": false, ""truncated"": false, ""text"": ""Crime/Lawlessness has always be...",Robbery,Delhi,Negative,"GPE: Delhi, France | PERSON: Delhi Police",Public Disturbance,Low,"lang, en, favorited, false, retweetedstatus, lang, en, favorited, false, truncated"
TXT_018,CrimeReport / Kaggle,"{""lang"": ""en"", ""favorited"": false, ""retweeted_status"": {""lang"": ""en"", ""favorited"": false, ""truncated"": false, ""text"": ""Crime/Lawlessness has always be...",Robbery,Delhi,Negative,"GPE: Delhi, France | PERSON: Delhi Police",Public Disturbance,Low,"lang, en, favorited, false, retweetedstatus, lang, en, favorited, false, truncated"
TXT_019,CrimeReport / Kaggle,"{""lang"": ""en"", ""favorited"": false, ""retweeted_status"": {""lang"": ""en"", ""favorited"": false, ""truncated"": false, ""text"": ""Cause there isn't any real crim...",Disturbance,Unknown,Negative,"DATE: +0000 2014, 301235543, 360343905 | ORG: USC",Public Disturbance,Low,"lang, en, favorited, false, retweetedstatus, lang, en, favorited, false, truncated"
TXT_020,CrimeReport / Kaggle,"{""lang"": ""en"", ""favorited"": false, ""retweeted_status"": {""lang"": ""en"", ""favorited"": false, ""truncated"": false, ""text"": ""Crime/Lawlessness has always be...",Robbery,Delhi,Negative,"GPE: Delhi, France | PERSON: Delhi Police",Public Disturbance,Low,"lang, en, favorited, false, retweetedstatus, lang, en, favorited, false, truncated"
TXT_021,CrimeReport / Kaggle,"{""lang"": ""en"", ""favorited"": false, ""retweeted_status"": {""lang"": ""en"", ""favorited"": false, ""truncated"": false, ""text"": ""Cause there isn't any real crim...",Unknown,Unknown,Negative,"DATE: +0000 2014, 301235543, 360343905 | ORG: USC",Public Disturbance,Low,"lang, en, favorited, false, retweetedstatus, lang, en, favorited, false, truncated"
TXT_022,CrimeReport / Kaggle,"{""lang"": ""en"", ""favorited"": false, ""retweeted_status"": {""lang"": ""en"", ""favorited"": false, ""truncated"": false, ""text"": ""#NRAadvice: Don\u2019t cooperat...",Unknown,Unknown,Negative,"PERSON: NRAadvice | DATE: Fri Jan 31, +0000 2014, 250386727",Public Disturbance,Low,"lang, en, favorited, false, retweetedstatus, lang, en, favorited, false, truncated"
TXT_023,CrimeReport / Kaggle,"{""lang"": ""en"", ""favorited"": false, ""retweeted_status"": {""lang"": ""en"", ""favorited"": false, ""truncated"": false, ""text"": ""Crime/Lawlessness has always be...",Robbery,Delhi,Negative,"GPE: Delhi, France | PERSON: Delhi Police",Public Disturbance,Low,"lang, en, favorited, false, retweetedstatus, lang, en, favorited, false, truncated"
TXT_024,CrimeReport / Kaggle,"{""lang"": ""en"", ""favorited"": false, ""truncated"": false, ""text"": ""Cause there isn't any real crime anywhere.. RT @DrinkingTicket: Police around capstone...",Unknown,Unknown,Negative,"DATE: +0000 2014, 301235543, 360343905 | ORG: USC",Other Crime,Low,"lang, en, favorited, false, truncated, false, text, cause, real, crime"
TXT_025,CrimeReport / Kaggle,"{""lang"": ""en"", ""favorited"": false, ""truncated"": false, ""text"": ""India News Delhi Police arrests three  in Rs 8 cr heist, some cash recovered, mastermi...",Unknown,Asia,Negative,"ORG: India News Delhi | DATE: +0000 2014, 6119, 578339 | LOC: Asia, Africa",Theft / Robbery,Low,"lang, en, favorited, false, truncated, false, text, india, news, delhi"
TXT_026,CrimeReport / Kaggle,"{""lang"": ""en"", ""favorited"": false, ""truncated"": false, ""text"": ""India News Police sniffer dog's bark lands man in Mumbai jail for 10 years, High Court...",Unknown,Mumbai,Negative,"ORG: India News Police | GPE: Mumbai | DATE: 10 years, +0000 2014, 6119 | LOC: Asia, Africa",Public Disturbance,Low,"lang, en, favorited, false, truncated, false, text, india, news, police"
TXT_027,CrimeReport / Kaggle,"{""lang"": ""en"", ""favorited"": false, ""truncated"": false, ""text"": ""Crime/Lawlessness has always been a problem in Delhi. Home minister and Delhi Police a...",Robbery,Delhi,Negative,"GPE: Delhi, France | PERSON: Delhi Police",Public Disturbance,Low,"lang, en, favorited, false, truncated, false, text, crimelawlessness, always, problem"
TXT_028,CrimeReport / Kaggle,"{""lang"": ""en"", ""favorited"": false, ""truncated"": false, ""text"": ""I added a video to a @YouTube playlist http://t.co/cir6DgKsvp World's Scariest Police ...",Unknown,Unknown,Negative,"ORG: World, Scariest Police Chases | DATE: +0000 2014, 10228272, 2012",Public Disturbance,Low,"lang, en, favorited, false, truncated, false, text, added, video, playlist"
TXT_029,CrimeReport / Kaggle,"{""lang"": ""en"", ""favorited"": false, ""truncated"": false, ""text"": ""New #Legal Remedy Against Police Activities Within Criminal Investigations - Mondaq Ne...",Unknown,Unknown,Negative,"DATE: +0000 2014, 30745, 1210 | PERSON: Michelle Henry",Public Disturbance,Low,"lang, en, favorited, false, truncated, false, text, new, remedy, police"
TXT_030,CrimeReport / Kaggle,"{""lang"": ""en"", ""favorited"": false, ""truncated"": false, ""text"": ""Police seek witnesses to grass fires (Delahey  - VIC):\nhttp://t.co/7OEdJQvhMi"", ""crea...",Fire / Arson,Unknown,Negative,"PERSON: Delahey  - VIC):\nhttp://t.co/7OEdJQvhMi | DATE: 131516, 14817",Public Disturbance,High,"lang, en, favorited, false, truncated, false, text, police, seek, witnesses"
TXT_031,CrimeReport / Kaggle,"{""lang"": ""en"", ""favorited"": false, ""truncated"": false, ""text"": ""It's so shallow as for evry crime police is being blamed in #capital by govnment!they ...",Unknown,South Africa,Negative,DATE: 111331562 | GPE: South Africa | ORG: Thinker,Other Crime,Low,"lang, en, favorited, false, truncated, false, text, shallow, evry, crime"
TXT_032,CrimeReport / Kaggle,"{""lang"": ""en"", ""favorited"": false, ""truncated"": false, ""text"": ""Police swoop on kidnappers\u2019 den in Onitsha - http://t.co/HeOoghHHKt http://t.co/A...",Unknown,kidnappers\u2019,Negative,"GPE: kidnappers\u2019, Onitsha | ORG: Royal Times | DATE: 1459 | PERSON: Kwara State",Public Disturbance,High,"lang, en, favorited, false, truncated, false, text, police, swoop, den"
TXT_033,CrimeReport / Kaggle,"{""lang"": ""en"", ""favorited"": false, ""retweeted_status"": {""lang"": ""en"", ""favorited"": false, ""truncated"": false, ""text"": ""\""95% of the time police arrive...",Assault,Unknown,Negative,"DATE: 17 June 1998, Fri Jan 31, 368545981",Public Disturbance,High,"lang, en, favorited, false, retweetedstatus, lang, en, favorited, false, truncated"
TXT_034,CrimeReport / Kaggle,"{""lang"": ""en"", ""favorited"": false, ""truncated"": false, ""text"": ""@BansheeTvShow The entire police department, the bartender, the gay tech all were in t...",Unknown,Unknown,Negative,"PERSON: Carrie, Cranston | DATE: +0000 2014, 998389195, 429505128605818880",Missing Person,Low,"lang, en, favorited, false, truncated, false, text, entire, police, department"
TXT_035,CrimeReport / Kaggle,"{""lang"": ""en"", ""favorited"": false, ""truncated"": false, ""text"": ""Police union wants lock out zones expanded:\nhttp://t.co/hu8zOehB7G"", ""created_at"": ""S...",Unknown,Unknown,Negative,"DATE: 131516, 14817, 2012",Public Disturbance,Low,"lang, en, favorited, false, truncated, false, text, police, union, wants"
TXT_036,CrimeReport / Kaggle,"{""lang"": ""en"", ""favorited"": false, ""truncated"": false, ""text"": ""Alert issued in Petaluma after men posing as police enter woman's home:  http://t.co/G...",Unknown,Petaluma,Negative,GPE: Petaluma | DATE: 1676640072,Public Disturbance,Low,"lang, en, favorited, false, truncated, false, text, alert, issued, petaluma"
TXT_037,CrimeReport / Kaggle,"{""lang"": ""en"", ""favorited"": false, ""truncated"": false, ""text"": ""Bay Area journos on crime beat: there are 4 police cars &amp; yellow tape at sunny spo...",Unknown,Bay Area,Negative,"LOC: Bay Area | DATE: 17th right now, 18014746, 3632 | GPE: San Francisco | ORG: CA",Public Disturbance,Low,"lang, en, favorited, false, truncated, false, text, bay, area, journos"
TXT_038,CrimeReport / Kaggle,"{""lang"": ""en"", ""favorited"": false, ""retweeted_status"": {""lang"": ""en"", ""favorited"": false, ""truncated"": false, ""text"": ""Police are supposed to be fight...",Disturbance,Detroit,Negative,DATE: 341113673 | GPE: Detroit,Public Disturbance,Medium,"lang, en, favorited, false, retweetedstatus, lang, en, favorited, false, truncated"
TXT_039,CrimeReport / Kaggle,"{""lang"": ""en"", ""favorited"": false, ""truncated"": false, ""text"": ""Peel #Police - Male Arrested on Attempt Murder Warrant http://t.co/tDQE83bFXX\n #crime...",Murder,Unknown,Negative,"DATE: Tue Jan 21, 2302233864",Murder / Homicide,High,"lang, en, favorited, false, truncated, false, text, peel, male, arrested"
TXT_040,CrimeReport / Kaggle,"{""lang"": ""en"", ""favorited"": false, ""truncated"": false, ""text"": ""Belmar named St. Louis County police chief http://t.co/MXbeCRaJ5K"", ""created_at"": ""Sat...",Unknown,St. Louis County,Negative,"PERSON: Belmar, http://t.co/MXbeCRaJ5K | GPE: St. Louis County, St. Louis, Mo. | DATE: 44258, 1451 | ORG: the St. Louis Post-Dispatch",Public Disturbance,Low,"lang, en, favorited, false, truncated, false, text, belmar, named, louis"
TXT_041,CrimeReport / Kaggle,"{""lang"": ""en"", ""favorited"": false, ""retweeted_status"": {""lang"": ""en"", ""favorited"": false, ""truncated"": false, ""text"": ""Is Mr @ArvindKejriwal going to ...",Unknown,Unknown,Negative,"ORG: Delhi Police, ArvindKejriwal, yahan Sampark | PERSON: Shiela Dikshit's, ke liye | DATE: Fri Jan 31, +0000 2014, 405427035",Public Disturbance,Low,"lang, en, favorited, false, retweetedstatus, lang, en, favorited, false, truncated"
TXT_042,CrimeReport / Kaggle,"{""lang"": ""en"", ""favorited"": false, ""truncated"": false, ""text"": ""\""Men posing as police: Petaluma home invasion.\""\n\nUh, I'm not letting any cop in w/...",Unknown,Afghanistan,Negative,"ORG: 06:31:20 | DATE: 1608, 131516, 2001 | GPE: Afghanistan",Public Disturbance,Low,"lang, en, favorited, false, truncated, false, text, men, posing, police"
TXT_043,CrimeReport / Kaggle,"{""lang"": ""en"", ""favorited"": false, ""truncated"": false, ""text"": ""#NidoTaniam paid for breaking the glass, why were the shopkeepers not made to pay for ...",Unknown,India,Negative,"PERSON: NidoTaniam, Laugh | DATE: +0000 2014, 45625704, 5906 | GPE: India",Vandalism / Property Damage,Low,"lang, en, favorited, false, truncated, false, text, paid, breaking, glass"
TXT_044,CrimeReport / Kaggle,"{""lang"": ""en"", ""favorited"": false, ""truncated"": false, ""text"": ""The Times Picayune - Police investigating shooting in Pontchartrain Park http://t.co/i...",Assault,Pontchartrain Park,Negative,"GPE: Pontchartrain Park, the State of Louisiana, USA | DATE: 16884, +0000 2013, 1614147859 | ORG: Louisiana News",Public Disturbance,High,"lang, en, favorited, false, truncated, false, text, times, picayune, police"
TXT_045,CrimeReport / Kaggle,"{""lang"": ""en"", ""favorited"": false, ""truncated"": false, ""text"": ""#NidoTaniam paid for breaking the glass, why were the shopkeepers not made to pay for ...",Unknown,Unknown,Negative,"PERSON: NidoTaniam | ORG: OG, ""Pacific Time (, US & Canada | DATE: +0000 2009",Vandalism / Property Damage,Low,"lang, en, favorited, false, truncated, false, text, paid, breaking, glass"
TXT_046,CrimeReport / Kaggle,"{""lang"": ""en"", ""favorited"": false, ""retweeted_status"": {""lang"": ""en"", ""favorited"": false, ""truncated"": false, ""text"": ""So AAP will continue to cry fou...",Unknown,Delhi,Negative,"GPE: Delhi | DATE: Fri Jan 31, +0000 2014, 318201824",Public Disturbance,Low,"lang, en, favorited, false, retweetedstatus, lang, en, favorited, false, truncated"
TXT_047,CrimeReport / Kaggle,"{""lang"": ""en"", ""favorited"": false, ""truncated"": false, ""text"": ""#Justice U.S. Marshals Task Force and Toledo Police Arrest Final Suspect in Murder Cas...",Fire / Arson,Unknown,Negative,"ORG: U.S. Marshals Task Force, Toledo Police Arrest Final Suspect, CA | DATE: 129360573, 22044, 44793",Murder / Homicide,High,"lang, en, favorited, false, truncated, false, text, marshals, task, force"
TXT_048,CrimeReport / Kaggle,"{""lang"": ""en"", ""favorited"": false, ""truncated"": false, ""text"": ""Alert issued in Petaluma after men posing as police enter woman's home http://t.co/lVc...",Unknown,Petaluma,Negative,"GPE: Petaluma, San Francisco, California | DATE: 79129156, 6441, 113023 | ORG: SFnews",Public Disturbance,Low,"lang, en, favorited, false, truncated, false, text, alert, issued, petaluma"
TXT_049,CrimeReport / Kaggle,"{""lang"": ""en"", ""favorited"": false, ""truncated"": false, ""text"": ""Watching crime and investigation and one of the police audio analysis investigators is...",Unknown,Unknown,Negative,"DATE: 94595289, 1870, 18055",Public Disturbance,Low,"lang, en, favorited, false, truncated, false, text, watching, crime, investigation"
TXT_050,CrimeReport / Kaggle,"{""lang"": ""en"", ""favorited"": false, ""truncated"": false, ""text"": ""Alert issued in Petaluma after men posing as police enter woman's home: Petaluma polic...",Assault,Petaluma,Positive,"GPE: Petaluma, Burlingame | PERSON: http://t.co/2iQRugpWfn | DATE: 112805577, 44116 | ORG: CA",Public Disturbance,Low,"lang, en, favorited, false, truncated, false, text, alert, issued, petaluma"
TXT_051,CrimeReport / Kaggle,"{""lang"": ""en"", ""favorited"": false, ""truncated"": false, ""text"": ""via @NOLAnews Police investigating shooting in Pontchartrain Park http://t.co/ikLjlj9V...",Assault,Pontchartrain Park http://t.co/ikLjlj9V6V,Negative,"ORG: @NOLAnews Police, NOLAnews, Harmon, Smith & Vourvoulias LLC | GPE: Pontchartrain Park http://t.co/ikLjlj9V6V, New Orleans, LA | DATE: 14192680, 1244540058 | PERSON: Se habla",Public Disturbance,High,"lang, en, favorited, false, truncated, false, text, via, police, investigating"
TXT_052,CrimeReport / Kaggle,"{""lang"": ""en"", ""favorited"": false, ""truncated"": false, ""text"": ""Police Chief James Craig: More guns could equal less crime in Detroit http://t.co/CACe...",Unknown,Detroit,Negative,"PERSON: James Craig | GPE: Detroit, Michigan | DATE: 488785712, 590156, 210116",Public Disturbance,Low,"lang, en, favorited, false, truncated, false, text, police, chief, james"
TXT_053,CrimeReport / Kaggle,"{""lang"": ""en"", ""favorited"": false, ""truncated"": false, ""text"": ""Again port st lucie!i know there's crime everywhere but they just stupid here http://t...",Unknown,Florida,Negative,DATE: 1330 | ORG: US & Canada | GPE: Florida,Other Crime,Low,"lang, en, favorited, false, truncated, false, text, port, st, lucie"
TXT_054,CrimeReport / Kaggle,"{""lang"": ""en"", ""favorited"": false, ""truncated"": false, ""text"": ""Crime reports offered online http://t.co/gW087y5ELT"", ""created_at"": ""Sat Feb 01 06:22:...",Unknown,Toledo,Negative,"ORG: DDFFCC, OH & MI | GPE: Toledo | DATE: 46808, the last 175 years, 3425",Public Disturbance,Low,"lang, en, favorited, false, truncated, false, text, crime, reports, offered"
TXT_055,CrimeReport / Kaggle,"{""lang"": ""en"", ""favorited"": false, ""truncated"": false, ""text"": ""Crime reports offered online http://t.co/tmzdPaJaWi"", ""created_at"": ""Sat Feb 01 06:22:...",Unknown,Toledo,Negative,"DATE: 24219183, 3823, 56783 | ORG: DDFFCC | GPE: Toledo | PERSON: Toledo Blade | LOC: Western Lake Erie",Public Disturbance,Low,"lang, en, favorited, false, truncated, false, text, crime, reports, offered"
TXT_056,CrimeReport / Kaggle,"{""lang"": ""en"", ""favorited"": false, ""truncated"": false, ""text"": ""Safeguarding: Investigation into 'why Lincolnshire police marked one third of all repo...",Unknown,Lincolnshire,Negative,"GPE: Lincolnshire | DATE: 1138, 8936, 1919644292 | ORG: Information - Association for Safeguarding:  http://t.co/2CkgYlLv0C              & Director of Information",Public Disturbance,High,"lang, en, favorited, false, truncated, false, text, safeguarding, investigation, lincolnshire"
TXT_057,CrimeReport / Kaggle,"{""lang"": ""en"", ""favorited"": false, ""truncated"": false, ""text"": ""Alert issued in Petaluma after men posing as police enter woman's home: Petaluma polic...",Unknown,Petaluma,Negative,GPE: Petaluma | DATE: 1676640072,Public Disturbance,Low,"lang, en, favorited, false, truncated, false, text, alert, issued, petaluma"
TXT_058,CrimeReport / Kaggle,"{""lang"": ""en"", ""favorited"": false, ""retweeted_status"": {""lang"": ""en"", ""favorited"": false, ""truncated"": false, ""text"": ""Some ppl are unfit to deserve s...",Disturbance,California,Negative,"DATE: Fri Jan 31, 429054988950581248, 252924667 | GPE: California",Other Crime,Medium,"lang, en, favorited, false, retweetedstatus, lang, en, favorited, false, truncated"
TXT_059,CrimeReport / Kaggle,"{""lang"": ""en"", ""favorited"": false, ""retweeted_status"": {""lang"": ""en"", ""favorited"": false, ""truncated"": false, ""text"": ""Some ppl are unfit to deserve s...",Disturbance,California,Negative,"DATE: Fri Jan 31, 429054988950581248, 252924667 | GPE: California",Other Crime,Medium,"lang, en, favorited, false, retweetedstatus, lang, en, favorited, false, truncated"
TXT_060,CrimeReport / Kaggle,"{""lang"": ""in"", ""favorited"": false, ""truncated"": false, ""text"": ""Suburban Crime Log: 2-01 http://t.co/bCWfqPZo0W"", ""created_at"": ""Sat Feb 01 06:16:14 +...",Unknown,Toledo,Negative,"DATE: 24219183, 3823, 56783 | ORG: DDFFCC | GPE: Toledo | PERSON: Toledo Blade | LOC: Western Lake Erie",Public Disturbance,Low,"lang, favorited, false, truncated, false, text, suburban, crime, log, createdat"
TXT_061,CrimeReport / Kaggle,"{""lang"": ""in"", ""favorited"": false, ""truncated"": false, ""text"": ""Suburban Crime Log: 2-01 http://t.co/rf5vK5sh5X"", ""created_at"": ""Sat Feb 01 06:16:12 +...",Unknown,Toledo,Negative,"DATE: 2-01, 22127, 86811 | ORG: DDFFCC, NW OH & SE MI - http://t.co/bT6vcud5cS, Nabil | GPE: Toledo, OH | PERSON: Amy",Public Disturbance,Low,"lang, favorited, false, truncated, false, text, suburban, crime, log, createdat"
TXT_062,CrimeReport / Kaggle,"{""lang"": ""en"", ""favorited"": false, ""truncated"": false, ""text"": ""UPDATED: Big data: police given access to British army's crime-fighting software http:...",Disturbance,Unknown,Negative,DATE: 1585238262,Public Disturbance,Medium,"lang, en, favorited, false, truncated, false, text, updated, big, data"
TXT_063,CrimeReport / Kaggle,"{""lang"": ""en"", ""favorited"": false, ""retweeted_status"": {""lang"": ""en"", ""favorited"": false, ""truncated"": false, ""text"": ""#NRAadvice: Don\u2019t cooperat...",Unknown,Unknown,Negative,"PERSON: NRAadvice | DATE: Fri Jan 31, +0000 2014, 250386727",Public Disturbance,Low,"lang, en, favorited, false, retweetedstatus, lang, en, favorited, false, truncated"
TXT_064,CrimeReport / Kaggle,"{""lang"": ""en"", ""favorited"": false, ""truncated"": false, ""text"": ""Arunachal student death: Delhi Police files murder case, magisterial probe ordered - Z...",Robbery,Unknown,Negative,"DATE: 635735026, 2560 | ORG: Crime & corruption news, India &, Be Aware | PERSON: Safe",Murder / Homicide,High,"lang, en, favorited, false, truncated, false, text, arunachal, student, death"
TXT_065,CrimeReport / Kaggle,"{""lang"": ""en"", ""favorited"": false, ""truncated"": false, ""text"": ""What if instead of police dogs, there were giant man-sized police spiders.\n\nThere wo...",Unknown,California,Negative,"ORG: href=\""https://about.twitter.com, NEEEEERD | DATE: 595196840, 131516, 14225 | GPE: California",Other Crime,Low,"lang, en, favorited, false, truncated, false, text, instead, police, dogs"
TXT_066,CrimeReport / Kaggle,"{""lang"": ""en"", ""favorited"": false, ""retweeted_status"": {""lang"": ""en"", ""favorited"": false, ""truncated"": false, ""text"": ""Police investigating shooting i...",Assault,Pontchartrain Park,Negative,"GPE: Pontchartrain Park, New Orleans, LA | DATE: 14192680, 63699, 2095 | ORG: Times-Picayune",Public Disturbance,High,"lang, en, favorited, false, retweetedstatus, lang, en, favorited, false, truncated"
TXT_067,CrimeReport / Kaggle,"{""lang"": ""en"", ""favorited"": false, ""retweeted_status"": {""lang"": ""en"", ""favorited"": false, ""truncated"": false, ""text"": ""Police investigating shooting i...",Assault,Pontchartrain Park,Negative,"GPE: Pontchartrain Park, New Orleans, LA | DATE: 14192680, 63699, 2095 | ORG: Times-Picayune",Public Disturbance,High,"lang, en, favorited, false, retweetedstatus, lang, en, favorited, false, truncated"
TXT_068,CrimeReport / Kaggle,"{""lang"": ""en"", ""favorited"": false, ""truncated"": false, ""text"": ""Police investigating shooting in Pontchartrain Park http://t.co/JFassdU7iv"", ""created_...",Assault,Pontchartrain Park,Negative,"GPE: Pontchartrain Park, New Orleans, LA | DATE: 14192680, 63699, 2095 | ORG: Times-Picayune",Public Disturbance,High,"lang, en, favorited, false, truncated, false, text, police, investigating, shooting"
TXT_069,CrimeReport / Kaggle,"{""lang"": ""en"", ""favorited"": false, ""truncated"": false, ""text"": ""Tip helps Clarksville police foil school shooting, CPD says http://t.co/69W4Bkxaf4"", ""...",Assault,Hopkinsville,Negative,"PERSON: Clarksville | ORG: CPD, The Kentucky New Era | DATE: 122575134, 1719, 131516 | GPE: Hopkinsville, Ky. | LOC: Pennyrile",Public Disturbance,High,"lang, en, favorited, false, truncated, false, text, tip, helps, clarksville"
