Call_ID,Transcript,Extracted_Event,Keywords,Location,Sentiment,Urgency_Score
C024,"If somebody stays with Diane, I'm home alone and he's not here. My daughter is h...",Unknown incident,Incident: Unknown incident | Names: Diane,Unknown,Distressed,0.68
C025,"I don't have an emergency tube for this stuff, it just left my house just now.",Unknown incident,"Incident: Unknown incident | Urgency phrases: emergency, now",My House,Distressed,0.23
C026,My house is on fire. I don't know how to sleep in and I'll go to someone doom an...,Building fire / trapped persons,Incident: Building fire / trapped persons | Urgency phrases: now,My House,Distressed,0.81
C027,"Hi, my name is Maria. I'm calling because my teacher, Mr. Haines,",Unknown incident,"Incident: Unknown incident | Names: Maria, Haines",Unknown,Calm,0.64
C028,"Yes, I have a gun and I don't it's from LA car loaded and something just got sho...",Road accident / vehicle crash,Incident: Road accident / vehicle crash | Locations: LA,LA,Distressed,0.65
C029,"I have a friend who's been drinking, I've been trying to help him since him too....",Unknown incident,"Incident: Unknown incident | Urgency phrases: help, now",Unknown,Distressed,0.61
C030,"I'm a police at where the heck am I? 291 water counts, three to immediately. We ...",Unknown incident,Incident: Unknown incident | Urgency phrases: immediately,Unknown,Distressed,0.64
C031,I'm not sure my friend is called and basically told me she was going to kill her...,Robbery / theft in progress,Incident: Unknown incident,Unknown,Distressed,0.61
C032,"with the address, 750 south to 50 west.",Unknown incident,Incident: Unknown incident,Unknown,Calm,0.58
C033,"emergency. Fire. Cutting wood. So, what's the location?",Building fire / trapped persons,Incident: Building fire / trapped persons | Urgency phrases: emergency,Unknown,Distressed,0.86
C034,"It's not my, I mean, I haven't made it, I haven't possible, I haven't won overdo...",Unknown incident,Incident: Unknown incident,Unknown,Distressed,0.36
C035,I ain't gonna like your race a piece Ma'am prove to this for me,Unknown incident,Incident: Unknown incident,Unknown,Calm,0.67
C036,"Yeah man, I'm a bit late today and we're in the road. We're going to see the gas...",Road accident / vehicle crash,Incident: Unknown incident,Unknown,Calm,0.56
C037,Nevada more general,Unknown incident,Incident: Unknown incident | Locations: Nevada,Nevada,Calm,0.31
C038,"Now, I won't let you know that I'm sleepy. But I heard my doorbell ringing out.",Unknown incident,Incident: Unknown incident | Urgency phrases: now,Unknown,Calm,0.53
C039,"Please come down here. What's your, what? I don't know that address. You're gonn...",Unknown incident,"Incident: Unknown incident | Urgency phrases: now, please",Unknown,Distressed,0.61
C040,"What was your weekend of a playboy end down a month in park? A plane going down,...",Unknown incident,Incident: Unknown incident,Unknown,Distressed,0.57
C041,"Oh, somebody is coming. Somebody help. What's going on?",Unknown incident,Incident: Unknown incident | Urgency phrases: help,Unknown,Distressed,0.66
C042,Somebody was trying to rob us. She got tight right now. We're holding her down. ...,Robbery / theft in progress,Incident: Unknown incident | Urgency phrases: now,Unknown,Calm,0.69
C043,"Hello? Hello, I'm floating down the river in my car. Okay, what river are you on...",Road accident / vehicle crash,Incident: Road accident / vehicle crash,Unknown,Distressed,0.58
C044,"Yes, I need an ambulance on hard stones. Okay, we're in the airport.",Medical emergency,Incident: Medical emergency,Unknown,Distressed,0.68
C045,"with that little boy missing. Have you had any reports on one? No, I'm sure have...",Missing person report,Incident: Missing person report,Unknown,Distressed,0.56
C046,"We need police. Let's find a bike by 5.23. Let's find on them, man.",Missing person report,Incident: Unknown incident,Unknown,Distressed,0.64
C047,man please help me I'm a county road 900 to 600 will build the TV towers and,Road accident / vehicle crash,"Incident: Unknown incident | Urgency phrases: help, please",County Road,Calm,0.86
C048,"I'm working to please my, I'm with you right here at America. I don't need large...",Unknown incident,Incident: Unknown incident | Locations: America | Urgency phrases: please,America,Calm,0.43
C049,I'm not a prospect but I need to have somebody go to my brother's house.,Unknown incident,Incident: Unknown incident,Unknown,Distressed,0.5
C050,"one one. Hey, my friend is having a feature. Where are you at?",Unknown incident,Incident: Unknown incident,Unknown,Calm,0.63
C051,"Hello? Yes. We've just been robbed. Where? 220,000.",Robbery / theft in progress,Incident: Unknown incident,Unknown,Distressed,0.66
C052,"High Springs Community School, I called 911 a few minutes ago. We have, I heard ...",Physical assault / fight,Incident: Physical assault / fight,Unknown,Distressed,0.68
C053,"Yeah, I need an ambulance to 12 mark in South Reno. Okay, let's go on. Others.",Medical emergency,Incident: Medical emergency | Locations: South Reno,South Reno,Distressed,0.73
C054,And we made a stain that was some clothes we used for the laundry address and sp...,Unknown incident,Incident: Unknown incident,Unknown,Distressed,0.58
C055,4980. I'm talking to my daughter right now. 4980. I'm talking to my daughter. Li...,Unknown incident,Incident: Unknown incident | Urgency phrases: now,Unknown,Distressed,0.62
C056,It's been a demolishing of a house and there is a woman inside and we need someo...,Unknown incident,Incident: Unknown incident,A House,Distressed,0.85
C057,"to help you. Hi, this is Latisha from store Big Five on Green Valley. I have a p...",Robbery / theft in progress,Incident: Unknown incident | Locations: Green Valley | Names: Latisha | Urgency phrases: help,Green Valley,Distressed,0.67
C058,"Yes, ma'am, my neighbor just ran over so someone tried to kill her in her house....",Unknown incident,Incident: Unknown incident | Urgency phrases: now,Unknown,Distressed,0.69
C059,"901. My bad idea is that since it's really emotionally abusing me,",Unknown incident,Incident: Unknown incident,Unknown,Distressed,0.61
C060,"Yeah, I've got kind of like a knife. My father don't leave a little bit of air. ...",Unknown incident,Incident: Unknown incident,Unknown,Distressed,0.62
C061,My husband is up in the attic and he's not responding.,Unknown incident,Incident: Unknown incident,Unknown,Distressed,0.63
C062,"I need to report a murder. Okay, where is that? 157 red-",Unknown incident,Incident: Unknown incident,Unknown,Distressed,0.78
C063,"Yeah, it's very much right there in the back. I just think I just found out wher...",Unknown incident,Incident: Unknown incident,Unknown,Calm,0.59
C064,I'm Joan Pearson and I just killed two people.,Unknown incident,Incident: Unknown incident | Names: Joan Pearson,Unknown,Distressed,0.61
C065,"Hey, I told you some rally. We've got a medical aburge that 4500",Unknown incident,Incident: Unknown incident,Unknown,Distressed,0.61
C066,I just got back from work. From Target. I'm at 330.,Unknown incident,Incident: Unknown incident,Unknown,Distressed,0.51
C067,"Yes, we need an ambulance. We're at Westport Shopping Center right outside.",Medical emergency,Incident: Medical emergency | Locations: Westport Shopping Center,Westport Shopping Center,Distressed,0.84
C068,"No, no, no! No, no! No, no!",Unknown incident,Incident: Unknown incident,Unknown,Distressed,0.71
C069,"Yes, excuse me, so some helicopter is came down. The helicopter came down.",Unknown incident,Incident: Unknown incident,Unknown,Distressed,0.59
C070,"Yes, helicopter just crashed. A helicopter just crashed? Yes, sir. I think we're...",Road accident / vehicle crash,Incident: Road accident / vehicle crash,Unknown,Distressed,0.61
C071,"Good enough, Avenue. Someone is running around the neighborhood shooting a gun. ...",Road accident / vehicle crash,Incident: Road accident / vehicle crash | Locations: Avenue,Avenue,Calm,0.44
C072,"Hey, who's it? Sheriff's office can I help you? Yeah, who's this, Gendy? Who's i...",Unknown incident,"Incident: Unknown incident | Names: Sheriff, Gendy | Urgency phrases: help",Unknown,Distressed,0.57
C073,of your emergency. A month has spoken to my house and my time is taking. Please ...,Unknown incident,"Incident: Unknown incident | Urgency phrases: emergency, hurry, please",My House,Distressed,0.85
C074,"Do I need any of them to please after or won't? Okay, you need a police officer?...",Unknown incident,Incident: Unknown incident | Urgency phrases: please,Unknown,Distressed,0.51
C075,"Oh my God, I'm on third Avenue to wherever I'll track somebody just tried to jum...",Unknown incident,Incident: Unknown incident | Locations: third Avenue,third Avenue,Distressed,0.9
C076,"I hopped, there's a sitting on arm, yeah, like we're sitting. Sitting with, sitt...",Unknown incident,Incident: Unknown incident,Unknown,Calm,0.54
C077,My main purpose is did lawyers hear to bail?,Unknown incident,Incident: Unknown incident,Unknown,Distressed,0.69
C078,I have just smothered my way.,Unknown incident,Incident: Unknown incident,Unknown,Distressed,0.58
C079,"We're on the boat right now. My friend says, got it by the shark. We have to mak...",Unknown incident,Incident: Unknown incident | Urgency phrases: now,Unknown,Distressed,0.67
C080,"Yes, I got I just shot someone in my business on that 59 31",Unknown incident,Incident: Physical assault / fight,Unknown,Distressed,0.64
C081,"We got some shootings over here in Silbeach. Okay, where? The salon in the Marit...",Physical assault / fight,"Incident: Physical assault / fight | Locations: Silbeach, Maritala",Silbeach,Distressed,0.65
C082,"I just killed someone, a hundred, about 40.",Unknown incident,Incident: Unknown incident,Unknown,Distressed,0.6
C083,"Okay, yes, Emily, Katie, and the traffic search. She's in the city of La Clacett...",Road accident / vehicle crash,Incident: Road accident / vehicle crash | Names: Katie,Unknown,Calm,0.64
C084,"I got a report of shooting. Okay, where? Lehigh Hansen for Minette.",Physical assault / fight,Incident: Physical assault / fight | Names: Lehigh Hansen,Unknown,Distressed,0.6
C085,"We need the police here. Okay, what's the address of the emergency? The other.",Unknown incident,Incident: Unknown incident | Urgency phrases: emergency,Unknown,Distressed,0.68
C086,"Okay, we've got a fire down here at the Route 7 right here at Abington.",Building fire / trapped persons,"Incident: Building fire / trapped persons | Locations: Route 7, Abington",Route 7,Distressed,0.74
C087,I want to tell you what's happening first. I just killed my wife. There's no whe...,Unknown incident,Incident: Unknown incident,Unknown,Distressed,0.68
C088,"What do we say? What happened? I'm sorry, I'm sorry. I'm sorry.",Unknown incident,Incident: Unknown incident,Unknown,Distressed,0.56
C089,We have been shot at a house in South Mim2. We have three children and we leave ...,Missing person report,Incident: Physical assault / fight | Locations: South Mim2 | Urgency phrases: now,South Mim2,Distressed,0.7
C090,"Yes, I am... I come to Fitzgera concert...",Unknown incident,Incident: Unknown incident,Unknown,Calm,0.59
C091,"I'm behind the Noseville for Vata, license plate, CEG 8148, and we've been all o...",Road accident / vehicle crash,Incident: Unknown incident,Unknown,Distressed,0.58
C092,4202 Mallor circle. Two men have just crossed my fence to try.,Unknown incident,Incident: Unknown incident,Unknown,Distressed,0.61
C093,What city are you in?,Unknown incident,Incident: Unknown incident,Unknown,Distressed,0.56
C094,I am going eastbound on I-10 between LA-30 and LA-44.,Unknown incident,Incident: Unknown incident,Unknown,Distressed,0.56
C095,"Yes, we need officer right now. There's a man shooting at the lady. We need a co...",Physical assault / fight,Incident: Physical assault / fight | Urgency phrases: now,Unknown,Calm,0.87
C096,"Yes, my G pin hairs are getting lapped. Boss!",Unknown incident,Incident: Unknown incident,Unknown,Distressed,0.6
C097,your meditation. I am a little boy having a new name. Let me get a gun nest. Don...,Physical assault / fight,Incident: Unknown incident,Unknown,Distressed,0.47
C098,"Okay, I call before and I already pay in back. All right, so aren't we going to....",Unknown incident,Incident: Unknown incident,Unknown,Distressed,0.41
C099,"Yeah, I'm putting myself in for my husband, the number.",Unknown incident,Incident: Unknown incident,Unknown,Calm,0.62
C100,"I'm someone's breaking into my house. Wish I'd grab. Sophie, six, seven, eight, ...",Robbery / theft in progress,Incident: Unknown incident,Unknown,Distressed,0.6
C101,"I know. I'm sorry, Gordon. I know when she shot me with... I can go.",Unknown incident,Incident: Physical assault / fight | Names: Gordon | Urgency phrases: now,Unknown,Distressed,0.42
C102,"Yes, sir. I've got this middle school. We have a student with a dunking up help ...",Unknown incident,"Incident: Unknown incident | Locations: B.I.C. | Urgency phrases: help, please",B.I.C.,Calm,0.67
C103,I'm not sure if I'm going to get by train. Why was you hit by a train? My friend...,Road accident / vehicle crash,Incident: Road accident / vehicle crash,Unknown,Distressed,0.67
C104,an ambulance to the south side Walmart immediately. What's going on? I have a ma...,Medical emergency,Incident: Physical assault / fight | Urgency phrases: immediately,Unknown,Distressed,0.91
C105,You should... You should see...,Unknown incident,Incident: Unknown incident,Unknown,Calm,0.6
C106,"I'm hoping. I'll leave in the lab, I think someone is trying to come in.",Unknown incident,Incident: Unknown incident,Unknown,Distressed,0.6
C107,"I need a nice grey billed place, I don't care who's 15612.",Road accident / vehicle crash,Incident: Road accident / vehicle crash,Unknown,Distressed,0.75
C108,"I don't know but you have 4,000",Unknown incident,Incident: Unknown incident | Urgency phrases: now,Unknown,Calm,0.57
C109,We have a I think we have a dead person in here. Okay. I don't know what happene...,Unknown incident,Incident: Unknown incident | Urgency phrases: now,Unknown,Distressed,0.64
C110,"I'm almost in Wonder Rock, the US bank, and I just need to be sure to tell mysel...",Robbery / theft in progress,"Incident: Unknown incident | Locations: Wonder Rock, US",Wonder Rock,Calm,0.63
C111,What are you? The emergency hotline. Who are you?,Unknown incident,Incident: Unknown incident | Urgency phrases: emergency,Unknown,Distressed,0.81
C112,It's a business. I believe it's been robbed. What's the name of the business? Fl...,Robbery / theft in progress,Incident: Unknown incident,Unknown,Distressed,0.62
C113,"and what is your emergency? Hi, my name is Mickey. I'm the manager at the McDona...",Unknown incident,Incident: Unknown incident | Names: Mickey | Urgency phrases: emergency,Unknown,Calm,0.58
C114,I think we're on 75. I 75? Yes. Okay.,Unknown incident,Incident: Unknown incident,Unknown,Calm,0.47
C115,Something is going on. Do you know the south number?,Unknown incident,Incident: Unknown incident | Urgency phrases: now,Unknown,Distressed,0.69
C116,"I keep blow-drow. We have blitz. Okay, I'm sorry you have blitz.",Unknown incident,Incident: Unknown incident,Unknown,Distressed,0.5
C117,Are you out of the house yet? No. Or I get out of the house. We can't.,Unknown incident,Incident: Unknown incident,The House,Distressed,0.51
C118,emergency. My focus is on that please come. We're going to say the address is no...,Unknown incident,"Incident: Unknown incident | Urgency phrases: emergency, please",Unknown,Distressed,0.94
C119,"Oh, darling, he's ill. Who is this? I told my father right to help.",Unknown incident,Incident: Unknown incident | Urgency phrases: help,Unknown,Distressed,0.73
C120,.,Unknown incident,Incident: Unknown incident,Unknown,Calm,0.54
C121,"Um, we have somebody. Sorry.",Unknown incident,Incident: Unknown incident,Unknown,Distressed,0.58
C122,I think somebody is breaking in the house. We just came from school and put our ...,Road accident / vehicle crash,Incident: Road accident / vehicle crash,Unknown,Distressed,0.7
C123,"Um, I always offers, kind of, my mom's on a floor.",Unknown incident,Incident: Unknown incident,Unknown,Calm,0.5
C124,emergency. I just shot my wife. Can you tell me the address that you're off?,Unknown incident,Incident: Physical assault / fight | Urgency phrases: emergency,Unknown,Distressed,0.95
C125,I think we need a place at the Walmart Super Center in Miss Kogi. That's what we...,Unknown incident,Incident: Unknown incident | Names: Kogi,Unknown,Distressed,0.66
C126,"Yeah, I need the Polo here. 963, he's 363. There's somebody in the house with a ...",Unknown incident,Incident: Unknown incident,The House,Distressed,0.67
C127,corner of 119 and counting road 1 we just saw plane go down to the,Road accident / vehicle crash,Incident: Unknown incident,Counting Road,Distressed,0.61
C128,"A plane just crashed. Okay, you said three miles south of Union reservoir.",Road accident / vehicle crash,Incident: Road accident / vehicle crash,Unknown,Distressed,0.63
C129,"Yes, it is a police station. Yes, it is. May I help you? Yes, okay. I put this a...",Unknown incident,Incident: Unknown incident | Urgency phrases: help,Unknown,Distressed,0.38
C130,I know there's an ambulance on the TV for this little boy. Okay. And there's a y...,Medical emergency,Incident: Medical emergency | Urgency phrases: now,Unknown,Distressed,0.73
C131,"Hi, we just witnessed the vehicle accident on the last night.",Road accident / vehicle crash,Incident: Road accident / vehicle crash,Unknown,Distressed,0.61
C132,There's a horrible accident on 7 mile fare in highway 94.,Road accident / vehicle crash,Incident: Road accident / vehicle crash,In Highway,Distressed,0.79
C133,"Hi, there was a accident. We just witnessed three cars just been full motion.",Road accident / vehicle crash,Incident: Road accident / vehicle crash,Unknown,Distressed,0.68
C134,I was told to call my dad to tell whatever I had.,Unknown incident,Incident: Unknown incident,Unknown,Distressed,0.55
C135,"He only found his dad's old proofs best, but I don't know.",Unknown incident,Incident: Unknown incident | Urgency phrases: now,Unknown,Distressed,0.53
C136,Open screen! Hello?,Unknown incident,Incident: Unknown incident,Unknown,Calm,0.63
C137,"There has been a murder suicide. There is no survivors. Please send help. Okay, ...",Unknown incident,"Incident: Unknown incident | Urgency phrases: help, please",Unknown,Distressed,0.79
C138,यह पलीज वारा हैं वार वार वार वार वार वार वार,Unknown incident,Incident: Unknown incident | Names: वारा हैं वार वार वार वार वार वार वार,Unknown,Distressed,0.59
C139,"Yeah, I'd like to report it to you, please. Okay. Be the thrills.",Unknown incident,Incident: Unknown incident | Urgency phrases: please,Unknown,Calm,0.6
C140,"I just shot my wife. Okay, and what's your address?",Unknown incident,Incident: Physical assault / fight,Unknown,Distressed,0.6
C141,Please come out of the cow! Please! It's coming to God! Please come out of the w...,Unknown incident,Incident: Unknown incident | Urgency phrases: please,Unknown,Calm,0.92
C142,A woman came under her house screaming that her son had shot for her husband.,Unknown incident,Incident: Physical assault / fight,Her House,Distressed,0.7
C143,"Hi, I hear a girlfriend just pulled up and there's a guy pull up and truck behin...",Road accident / vehicle crash,Incident: Unknown incident,Unknown,Distressed,0.67
C144,"Hi, Edons, Unshots. We're all on the floor. You're doing what? They think Unshot...",Unknown incident,Incident: Physical assault / fight,Unknown,Distressed,0.57
C145,I'm not talking about this. I'm talking about this. I'm talking about this.,Unknown incident,Incident: Unknown incident,Unknown,Distressed,0.23
C146,"Someone with murder, I think. Where are you? No, please, you're gonna let me... ...",Unknown incident,Incident: Unknown incident | Urgency phrases: please,Unknown,Distressed,0.79
C147,It was guys just in my mom and my niece and my sister all the while they've been...,Unknown incident,Incident: Unknown incident,Unknown,Distressed,0.62
C148,"I have a gun shop victim here. Okay, I'm going to hurry.",Physical assault / fight,Incident: Unknown incident | Urgency phrases: hurry,Unknown,Distressed,0.77
C149,I just come in to pick it up my trash and my major is in the house. I've got no....,Unknown incident,Incident: Unknown incident,Unknown,Distressed,0.39
C150,"Ту-ту-персон, что... А-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а... Сер....",Unknown incident,"Incident: Unknown incident | Names: Ту-ту-персон, Сер",Unknown,Distressed,0.62
C151,You need to see this ran over and they said that the boy just shot his mom. We'v...,Unknown incident,Incident: Physical assault / fight,Unknown,Distressed,0.93
C152,and I requested a state police to come out. I would like state police,Unknown incident,Incident: Unknown incident,Unknown,Distressed,0.61
C153,I had a guy kicking in my door or trying to kick in my front door. I don't know ...,Robbery / theft in progress,Incident: Unknown incident | Urgency phrases: now,Unknown,Distressed,0.6
C154,in 59 to capture races. There's been a shooting. Somebody came in and shot a bun...,Physical assault / fight,Incident: Physical assault / fight,Unknown,Distressed,0.68
C155,exit of this game coming from the beach. There's a guy that's completely naked w...,Unknown incident,Incident: Unknown incident,Unknown,Distressed,0.6
C156,There's a naked man or the men's cars way at the end of the car way coming towar...,Road accident / vehicle crash,Incident: Road accident / vehicle crash,Unknown,Distressed,0.62
C157,So hi I'm Erie C. I'm Erie C. I'm my great-for-delie.,Unknown incident,"Incident: Unknown incident | Names: Erie C., Erie C.",Unknown,Calm,0.53
C158,I have a boy that was underwater and he's not breathing. How old is the boy? Fou...,Unknown incident,Incident: Unknown incident,Unknown,Distressed,0.69
C159,Are you inside the house? Yes. Are you alone inside the house? Yes.,Unknown incident,Incident: Unknown incident,Unknown,Calm,0.57
C160,someone on the back porch of black man. And what is your address? 3613 lady wood...,Unknown incident,Incident: Unknown incident,Unknown,Distressed,0.56
C161,"I'm gonna take a look at how I put it. How the power of this kit. Well, we'll pu...",Unknown incident,Incident: Unknown incident | Urgency phrases: now,Unknown,Calm,0.58
C162,I'm going to come and stop. Where are you at? I'm at the end.,Unknown incident,Incident: Unknown incident,Unknown,Distressed,0.62
C163,What kind of appearance is that? Your wet? What kind of appearance is that? Your...,Unknown incident,Incident: Physical assault / fight,Unknown,Distressed,0.6
C164,We had several police tire earlier and did a report.,Unknown incident,Incident: Unknown incident,Unknown,Distressed,0.58
C165,"Oh, right, brother. It's having a great time in the hotel. Okay.",Unknown incident,Incident: Unknown incident,Unknown,Calm,0.32
C166,I just strangled my girlfriend. You just strangled your girlfriend? Yep. What's ...,Unknown incident,Incident: Unknown incident,Unknown,Distressed,0.58
C167,"Okay, we've had an airboat accident. I'm not sure if they're all injuries. I don...",Road accident / vehicle crash,Incident: Road accident / vehicle crash | Urgency phrases: now,Unknown,Distressed,0.64
C168,"Hey, I see a mead down",Unknown incident,Incident: Unknown incident,Unknown,Distressed,0.46
C169,"by crankwheels, like crankwheels,.",Unknown incident,Incident: Unknown incident,Unknown,Distressed,0.55
C170,I'm going to go now. I'll be right there. Do you have a hand for them? Yes. Do y...,Unknown incident,Incident: Unknown incident | Urgency phrases: now,Unknown,Calm,0.57
C171,"라고 αν sichburstridzer, Ivory Para, sie haben universes buenüre Hudro astronaut i...",Unknown incident,"Incident: Unknown incident | Locations: Craeremos | Names: Ivory Para, Einige, schön gewśćjas",Craeremos,Distressed,0.54
C172,I was just going to six temple and there was a I was in the parking lot and ther...,Unknown incident,Incident: Unknown incident,Unknown,Distressed,0.46
C173,"Yes, somebody just send my baby please get here. They just did what?",Unknown incident,Incident: Unknown incident | Urgency phrases: please,Unknown,Distressed,0.82
C174,"Oh, there's a fucking dead man in the car. Roger for me, young.",Road accident / vehicle crash,Incident: Road accident / vehicle crash | Names: Roger,Unknown,Distressed,0.73
C175,Can I help you? Somebody who's broken our daughter's trying to break into my bed...,Robbery / theft in progress,Incident: Unknown incident | Urgency phrases: help,Unknown,Distressed,0.68
C176,"Please, before I get through, I have my shirt in here. The shirt is where, where...",Unknown incident,Incident: Unknown incident | Urgency phrases: please,Unknown,Distressed,0.78
C177,"Please fire. 9-1-1. My hands will be having a harder time. Brooke, we're going t...",Building fire / trapped persons,Incident: Building fire / trapped persons | Urgency phrases: please,Unknown,Distressed,0.67
C178,you. I'll do you off with the shots. With what agency sir?,Unknown incident,Incident: Physical assault / fight,Unknown,Distressed,0.61
C179,I just killed my mom and my sister. What? I just killed my mom and my sister.,Unknown incident,Incident: Unknown incident,Unknown,Distressed,0.61
C180,How come because I'm at a port in my side and this is it? What park are you in?,Unknown incident,Incident: Unknown incident,What Park,Distressed,0.59
C181,"We have two boards, two boards. Do you have lights to service? We have lights to...",Unknown incident,Incident: Unknown incident | Urgency phrases: now,Unknown,Distressed,0.65
C182,"It's been with gardens and sin as possible to the ladies. It was like, I've neve...",Robbery / theft in progress,Incident: Unknown incident,Unknown,Calm,0.54
C183,I just committed a father's worst sin. Okay. I just shot my daughter and...,Unknown incident,Incident: Physical assault / fight,Unknown,Distressed,0.65
C184,"Yes, I have a three year old who's not breathing. To address men. 1 6 0 9 7 Nort...",Unknown incident,Incident: Unknown incident,Unknown,Distressed,0.7
C185,I have an emergency. I have three dead people up on top. It's called Hanley flat...,Unknown incident,Incident: Unknown incident | Locations: Wolfhand | Urgency phrases: emergency,Wolfhand,Distressed,0.95
C186,"Who's finished shooting? Okay, who was shot?",Physical assault / fight,Incident: Physical assault / fight,Unknown,Distressed,0.6
C187,"N5631, Sahel Road.",Road accident / vehicle crash,Incident: Unknown incident | Names: Sahel Road,Unknown,Distressed,0.56
C188,"Um, I don't know a guy stopped me. I think his wife is strong with his wife. He'...",Unknown incident,Incident: Unknown incident | Urgency phrases: now,Unknown,Calm,0.55
C189,We need help my husband to shop my son,Unknown incident,Incident: Unknown incident | Urgency phrases: help,Unknown,Distressed,0.7
C190,"Place, this is Dale Ford, Passdresser, 217th. I'm called a bugger or in my shop....",Unknown incident,"Incident: Unknown incident | Names: Dale Ford, Passdresser",Unknown,Distressed,0.49
C191,"Come on in your side, busing up vehicle man. I don't know where you're at, where...",Road accident / vehicle crash,Incident: Road accident / vehicle crash | Urgency phrases: now,Unknown,Distressed,0.62
C192,"have you got any reports of a building exposure? Yes we have, it's going to be J...",Unknown incident,Incident: Unknown incident | Locations: North La | Names: Jerry Maschick,North La,Distressed,0.59
C193,"I love this in the middle of the night, get to the other, I'm on the Lord, David...",Unknown incident,Incident: Unknown incident | Names: David,Unknown,Calm,0.51
C194,We just have the explosion at the front of our door. Yes sir. The chemical deliv...,Unknown incident,Incident: Unknown incident,Unknown,Distressed,0.72
C195,"Gary Masek-Grab, all the house blew up. Now's the windshield out of my pick-up.",Unknown incident,Incident: Unknown incident | Names: Gary Masek-Grab | Urgency phrases: now,The House,Distressed,0.65
C196,"Yes. We're in West Texas Casino, Brooklyn замеч Berg and all the rest.",Unknown incident,Incident: Unknown incident | Locations: Brooklyn | Names: Berg,Brooklyn,Calm,0.58
C197,"Yes, the 1000 exploded. Okay, what's the end like? 1879.",Unknown incident,Incident: Unknown incident,Unknown,Distressed,0.59
C198,"Oh, dude, the guy with the Josh suit is a new world ball right now. He's a sucke...",Unknown incident,Incident: Unknown incident | Names: Josh | Urgency phrases: now,Unknown,Calm,0.6
C199,"I'm a name of Hans Walters. I work for a lot of Vegas, much upon a police depart...",Unknown incident,"Incident: Unknown incident | Names: Hans Walters, Vegas",Unknown,Calm,0.53
C200,Can you please send rescue to I think I'm having,Unknown incident,Incident: Unknown incident | Urgency phrases: please,Unknown,Calm,0.76
C201,I'm out of saw high school. There's a guy with a gun. Where's the chase hole? La...,Physical assault / fight,Incident: Unknown incident,Unknown,Distressed,0.7
C202,You need police fire ambulance.,Building fire / trapped persons,Incident: Building fire / trapped persons,Unknown,Distressed,0.7
