Call_ID,Full_Text
C095,"Yes, we need officer right now. There's a man shooting at the lady. We need a cop. We're at. We're on it."
C096,"Yes, my G pin hairs are getting lapped. Boss!"
C097,your meditation. I am a little boy having a new name. Let me get a gun nest. Don't hang up sir.
C098,"Okay, I call before and I already pay in back. All right, so aren't we going to..."
C099,"Yeah, I'm putting myself in for my husband, the number."
C100,"I'm someone's breaking into my house. Wish I'd grab. Sophie, six, seven, eight, four, five, what?"
C101,"I know. I'm sorry, Gordon. I know when she shot me with... I can go."
C102,"Yes, sir. I've got this middle school. We have a student with a dunking up help us out. Please call B.I.C. police also"
C103,I'm not sure if I'm going to get by train. Why was you hit by a train? My friend. Where are you?
C104,an ambulance to the south side Walmart immediately. What's going on? I have a man shot.
C105,You should... You should see...
C106,"I'm hoping. I'll leave in the lab, I think someone is trying to come in."
C107,"I need a nice grey billed place, I don't care who's 15612."
C108,"I don't know but you have 4,000"
C109,We have a I think we have a dead person in here. Okay. I don't know what happened.
C110,"I'm almost in Wonder Rock, the US bank, and I just need to be sure to tell myself then."
C111,What are you? The emergency hotline. Who are you?
C112,It's a business. I believe it's been robbed. What's the name of the business? Flying biscuit.
C113,"and what is your emergency? Hi, my name is Mickey. I'm the manager at the McDonald's. I'm very intrigued. Yeah. There's a woman who is so cute."
C114,I think we're on 75. I 75? Yes. Okay.
C115,Something is going on. Do you know the south number?
C116,"I keep blow-drow. We have blitz. Okay, I'm sorry you have blitz."
C117,Are you out of the house yet? No. Or I get out of the house. We can't.
C118,emergency. My focus is on that please come. We're going to say the address is not here for me. What city are you in?
C119,"Oh, darling, he's ill. Who is this? I told my father right to help."
C120,.
C121,"Um, we have somebody. Sorry."
C122,I think somebody is breaking in the house. We just came from school and put our pajamas on. We really scared.
C123,"Um, I always offers, kind of, my mom's on a floor."
C124,emergency. I just shot my wife. Can you tell me the address that you're off?
C125,I think we need a place at the Walmart Super Center in Miss Kogi. That's what we got.
C126,"Yeah, I need the Polo here. 963, he's 363. There's somebody in the house with a grimole."
C127,corner of 119 and counting road 1 we just saw plane go down to the
C128,"A plane just crashed. Okay, you said three miles south of Union reservoir."
C129,"Yes, it is a police station. Yes, it is. May I help you? Yes, okay. I put this as ridiculous."
C130,I know there's an ambulance on the TV for this little boy. Okay. And there's a young man.
C131,"Hi, we just witnessed the vehicle accident on the last night."
C132,There's a horrible accident on 7 mile fare in highway 94.
C133,"Hi, there was a accident. We just witnessed three cars just been full motion."
C134,I was told to call my dad to tell whatever I had.
C135,"He only found his dad's old proofs best, but I don't know."
C136,Open screen! Hello?
C137,"There has been a murder suicide. There is no survivors. Please send help. Okay, what's going on? Who? What's going on?"
C138,यह पलीज वारा हैं वार वार वार वार वार वार वार
C139,"Yeah, I'd like to report it to you, please. Okay. Be the thrills."
C140,"I just shot my wife. Okay, and what's your address?"
C141,Please come out of the cow! Please! It's coming to God! Please come out of the way!
C142,A woman came under her house screaming that her son had shot for her husband.
C143,"Hi, I hear a girlfriend just pulled up and there's a guy pull up and truck behind him and we think he has a gun."
C144,"Hi, Edons, Unshots. We're all on the floor. You're doing what? They think Unshots."
C145,I'm not talking about this. I'm talking about this. I'm talking about this.
C146,"Someone with murder, I think. Where are you? No, please, you're gonna let me... I need you."
C147,It was guys just in my mom and my niece and my sister all the while they've been treated.
C148,"I have a gun shop victim here. Okay, I'm going to hurry."
C149,I just come in to pick it up my trash and my major is in the house. I've got no...
C150,"Ту-ту-персон, что... А-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а... Сер... Рада, Рада..."
C151,You need to see this ran over and they said that the boy just shot his mom. We've had to pull.
C152,and I requested a state police to come out. I would like state police
C153,I had a guy kicking in my door or trying to kick in my front door. I don't know what his problem was.
C154,in 59 to capture races. There's been a shooting. Somebody came in and shot a bunch of people. I'm hiding in the bed after a mall.
C155,exit of this game coming from the beach. There's a guy that's completely naked who has closed all of the...
C156,There's a naked man or the men's cars way at the end of the car way coming towards this
C157,So hi I'm Erie C. I'm Erie C. I'm my great-for-delie.
C158,I have a boy that was underwater and he's not breathing. How old is the boy? Four.
C159,Are you inside the house? Yes. Are you alone inside the house? Yes.
C160,someone on the back porch of black man. And what is your address? 3613 lady woodland.
C161,"I'm gonna take a look at how I put it. How the power of this kit. Well, we'll put it up over there now."
C162,I'm going to come and stop. Where are you at? I'm at the end.
C163,What kind of appearance is that? Your wet? What kind of appearance is that? Your panty is a shot.
C164,We had several police tire earlier and did a report.
C165,"Oh, right, brother. It's having a great time in the hotel. Okay."
C166,I just strangled my girlfriend. You just strangled your girlfriend? Yep. What's your name?
C167,"Okay, we've had an airboat accident. I'm not sure if they're all injuries. I don't know to what extent."
C168,"Hey, I see a mead down"
C169,"by crankwheels, like crankwheels,."
C170,I'm going to go now. I'll be right there. Do you have a hand for them? Yes. Do you have a hand for them?
C171,"라고 αν sichburstridzer, Ivory Para, sie haben universes buenüre Hudro astronaut in Craeremos. Einige dort dever uns schön gewśćjas an rozum very nice Mencli und ein warum auch er auch von Menschen nachfaming zisexual bisher auch im je auf dem oberen agix"
C172,I was just going to six temple and there was a I was in the parking lot and there was a bunch of
C173,"Yes, somebody just send my baby please get here. They just did what?"
C174,"Oh, there's a fucking dead man in the car. Roger for me, young."
C175,Can I help you? Somebody who's broken our daughter's trying to break into my bedroom. What's your address?
C176,"Please, before I get through, I have my shirt in here. The shirt is where, where on issue the cat, where at?"
C177,"Please fire. 9-1-1. My hands will be having a harder time. Brooke, we're going to start CPR on the hem. Okay?"
C178,you. I'll do you off with the shots. With what agency sir?
C179,I just killed my mom and my sister. What? I just killed my mom and my sister.
C180,How come because I'm at a port in my side and this is it? What park are you in?
C181,"We have two boards, two boards. Do you have lights to service? We have lights to service. Are you in the water now?"
C182,"It's been with gardens and sin as possible to the ladies. It was like, I've never had a hard problem. What is a dad's life?"
C183,I just committed a father's worst sin. Okay. I just shot my daughter and...
C184,"Yes, I have a three year old who's not breathing. To address men. 1 6 0 9 7 Northwater."
C185,I have an emergency. I have three dead people up on top. It's called Hanley flat up Wolfhand. My name is
C186,"Who's finished shooting? Okay, who was shot?"
C187,"N5631, Sahel Road."
C188,"Um, I don't know a guy stopped me. I think his wife is strong with his wife. He's"
C189,We need help my husband to shop my son
C190,"Place, this is Dale Ford, Passdresser, 217th. I'm called a bugger or in my shop. 217 North 7."
C191,"Come on in your side, busing up vehicle man. I don't know where you're at, where are you?"
C192,"have you got any reports of a building exposure? Yes we have, it's going to be Jerry Maschick in North La..."
C193,"I love this in the middle of the night, get to the other, I'm on the Lord, David. There's a lot of good luck, it's good."
C194,We just have the explosion at the front of our door. Yes sir. The chemical delivery is coming.
C195,"Gary Masek-Grab, all the house blew up. Now's the windshield out of my pick-up."
C196,"Yes. We're in West Texas Casino, Brooklyn замеч Berg and all the rest."
C197,"Yes, the 1000 exploded. Okay, what's the end like? 1879."
C198,"Oh, dude, the guy with the Josh suit is a new world ball right now. He's a sucker with the ball right now. Okay, can I have a..."
C199,"I'm a name of Hans Walters. I work for a lot of Vegas, much upon a police department."
C200,Can you please send rescue to I think I'm having
C201,I'm out of saw high school. There's a guy with a gun. Where's the chase hole? Last one's saw.
C202,You need police fire ambulance.
C203,"We have a shooter in the store. Okay, do you know if anybody's injured?"
C204,Okay. Okay. I need to get your stuff to a safe location.
C205,emergency. We're out of the town center.
C206,"911. Clackerman's town center, Frederick's of Hollywood, fired in the mouth. Okay, there will be other words."
C207,"Hi, I'm a suicidal teenager at House 503 Nighthawk Drive. I need an ambulance immediately."
C208,"500 feet, roll the cop, roll an ambulance, shots fired, a baby's been hit in the head."
C209,Can you get an ambulance in a cop? Get the over to 59 Alderwood drives. 59 what? Alderwood.
C210,"Hi, the gentleman was just talking to me about someone who's broken."
C211,"But, hurry up, this is the bivy. It happened. This is the bivy. He can't snuck it on my door earlier."
C212,But we went to the quails unlimited dinner last night and the cylinder might hear it looks like you hit it head in the...
C213,Get empty over here. Come under in shot 1220. Call the grab avenue 1220
C214,My mom is here. You're over there.
C215,"I'm at 69, 69 East Main. My son just shot his wife."
C216,"I don't know. Yes sir, I do push car right now. 504J3. 5041."
C217,"Yes, ma'am. Yeah, this is your last seat. Shot fired, same thing."
C218,"Yeah, I just attend to kill my mother if I step out there. Okay, where are you at sir?"
C219,"Yes, we're at a pool and I have a little girl that keeps down and she's not breathing. Trying to see if you are like..."
C220,"My neighbor's house is burning down at 312 Washington Avenue. We're on our ways, anybody inside?"
C221,Fuji guys welcome onto this side to enjoy for this shall we enjoy the toursMiniti Bye
C222,I'm reporting an airplane crash at a SSO. An airplane crash at SSO?
C223,"high, we just, where's the emphasis to airport in our airplane just crashed upon landing."
C224,"I'm in the hammer now, I'm going to wait. To wait a little bit. Wait a little bit."
C225,"Why did I move the fire alarm office? Okay, this is county. It's a matter of..."
C226,"Yeah, this is emergency. I'm a cab driver this guy. He say..."
C227,I'm going to see. Dance away! What happened to me? I don't know. I'm in the way. It's please.
C228,Help me help me quick. I'm the only one who can be on the court. I know.
C229,Can I want a mercy? What are you facing? Hello?
C230,"And there's a fire on the cemetery, a bridge into one of the gates. And on the cemetery."
C231,"Yes ma'am, I'm on second avenue in the school and the gentleman said tell them to hold down the police office are coming to here"
C232,He's in the house.
C233,"Yes, our ammunition is help. I'm trapped in the back side of this force bar."
C234,I'm watching Mike Donnell's up here. And I order like seven birds.
C235,"Oh my God, so many students at the Sheriff Department. At the Sheriff Department? Yes, so building place."
C236,"Yes, I didn't tacked by a man in the woods while I was hunting. Please send the police to my location."
C237,"On the boat, it ends up Radio lighting and electric supply building Radio lighting and the"
C238,Yes this is specific. Off to the studio this is sque今回 school. I want to introduce.
C239,"Now, here seems to be a bad fight next story."
C240,"I don't think so now and we all been followed. You need to hurry, we can only..."
C241,"I think some people are shooting. Okay, and SSF. Okay."
C242,I'm about to kill people. You're about to kill people? Yes. I had a deadly weapon in my...
C243,I'm sorry. Hello? Hello?
C244,"The station is on sunset, Larby, please come here. Okay, calm down a little bit, okay, what's he at?"
C245,"Um, my friend, who's my birthday gift, who I got to know."
C246,"I'm working for the head. I'm calling my son. I'm just getting asked. What's your address, ma'am? What's your address? What's your address?"
C247,"Oh, I'm just very upset. And I'm..."
C248,But guess what the fox has broke out and the lady come running out of the man from man is in there Tuding everyone
C249,"Okay, I'm at Wild Cash even. We've had a lot of our keepers."
C250,This is my goodest five or five each financial. I got the people in my yard and their dogs are my...
C251,"I've been called over to my father in law to have, because he got off the phone with my mother in law and he's been flexing up and stuff."
C252,There was this time I go and what a road is this? Red arrow going down.
C253,"My girlfriend is right and I think she's dead. I need someone here now. Okay, she breathing."
C254,I'm sorry. Any hoax school. I think there's somebody shooting in here. Sandy hoax school. Okay. What makes you a
C255,"emergency. Say you look at elementary school, 12 dickies and drugs. Okay, I've got that. What's going on down there?"
C256,I can still draw. It sounds like they're contacting the hallway. I'm a teacher in the school. Okay. Where are you in the school?
C257,"Yes, my husband's on the front there's a car here within a soul rifle shooting it's police and aiming at our house"
C258,"emergency. Oh, please hurry. This is one nine. Wind him court. We"
C259,"by the door. If anybody comes down here I'm shooting. Okay, don't, we don't want to shoot anyone else, okay? So, what's all this?"
C260,there. We got a we got a student athlete who was on the court moaning.
C261,"I have a nine week old infant and he just stopped breathing. Damn, I'm a white-up man. Okay."
C262,"We believe that there is a schooner. We have heard at least two shots. Okay, what is the next?"
C263,Minimum arab ми's Capuchom
C264,gunshot went to the chest. Number B.
C265,Can you hold for just a second? I just saw somebody running to the Comfort Bank on Thomas in 2020.
C266,I'll call it in right through. E. A weapons room. I'll call it right through.
C267,"the railroad tracks, we've got to train that to D rail the National Fire."
C268,"You guys are having a baby, you're supposed to be... You're supposed to be guys that are having a... ...over the coffee, too, and you're supposed to be..."
C269,He never says yes.
C270,"I just had a lottery to steal a beer at all. All right, hold on, first share our stuff. Let's go. All right, hold on."
C271,"So there's been a gunshot at the cop theater, movie theater, cop, and what's the chapel gunshot, to the chat."
C272,I'm gonna come in with your name. What is your name?
C273,"the crazy. He's been stabbed really bad. Okay, let's be breathing ma'am."
C274,ond
C275,"My daughter is choking on a bouncy ball. Okay, and you're at 25, 25 North 10th Street? Yes, is she?"
C276,"Well, am I 41 going south and I'm going to do a cross street right now?"
C277,"urgent both of it mama Oh yeah, now that's a moment."
C278,ครтеen! where's the fire at!? estas- woanging on a ScoobyDid
C279,payback police chief uh... with having a vehicle pulled across the street in the residence come on jottis
C280,I've been taken out of my house at gunpoint. I'm going to head to the police station.
C281,And my neighbor just knocked on my door. And I heard this mission. We went down to where the mail box is.
C282,معه لا أنه نبسوا auss proxy ايضاً فن Jerjen
C283,on. Land is on the ground. I didn't go and check you. A male is on the ground? Yes.
C284,"Yes, I live at the 9301 South Secretary of State, Harvard A. I got a gentle"
C285,"This is Caliola, the transfer at your Beth Western. I'm a 1-14, someone has been shot in the neck. They're going to need medical assistance."
C286,We're missing a child. Three years old. You're missing a three year old.
C287,"What exactly what happened? My wife's pregnant and she says she made the hospital, she says she can't read them."
C288,"I am on half road, I am in water, and it's taken me away. Hey man, we're on the..."
C289,"Okay 134th respect, 29 42 and future with the injury that parents unthinkable."
C290,"My walk up up up a little. Okay, let's go up the bottle with a carrot there. You've got movie. There."
C291,"I got a collar on the line, she's got to be quiet, somebody just broken door house, 436, Lowell Street."
C292,"I'm having one of my moments in shot. Okay, so it's medical. Is it medical, son?"
C293,I've got a woman in my bank pointing a rifle at all of us and all of our customers. I need police now.
C294,"We walked contact with two carriers, with the carrier and somebody else."
C295,"Where's your emergency? I need an ambulance to let on one colony. Okay, what's going on? What's going on? Okay."
C296,We need an ambulance. We're going on. My mom keeps...
C297,"Okay, what the problem on wrong and office? Something's what? You know, something wrong and office, I believe. What do you mean something?"
C298,Are little boys not breathing? Is he breathing now? No he's not.
C299,You did!
C300,"Um, my mother fed down. Okay, your mama fell down? Yeah. Okay, where are you at?"
C301,"My kids have been in this for three o'clock today, my seven-year-old and my three-year-old."
C302,I have been missing since 7 o'clock this morning and
C303,I have someone here that I need to be arrested in my home.
C304,Hello. Hello. Hello. Hello. Hello. Hello.
C305,"Hi, I'm speaking to my boyfriend and he was entering his home and I heard loud screaming and now this dead"
C306,East rear.
C307,"I can't bite my wife, so I'll feed her the bathtub and I think she gets. I'll let you, I'll see how it goes."
C308,We have a bare molley. I am out on the trail. I just wanted to take this time.
C309,when i should there
C310,This is an emergency run hike. I'm going to make my walk or hike in my kitchen in the smokey.
C311,northwest Vegas star. It looks like they have aircraft throwing the canvas with its way down in treatment.
C312,2313 what? 2313 cabrits. 2313 cabrits. Yes.
C313,I'm sorry I've got to admit.
C314,"Yes, well I walked in my car and you're like in your car out of your car. Yes, in my car."
C315,"You look like you need it, come slow. You just need a towel to come over here."
C316,"A child who has been left on my doorstep. Okay, what's your address?"
C317,Okay! No!
C318,"Hang on, this is too much traction. So it's a connogeable of R to the 180."
C319,Exactly what happened. There was two trains just collided outside of our metro link.
C320,"Yes, ma'am. My name is Special Agent Richard A Smith. That's number zero time."
C321,"We'll be in the office, I'll guide you by 9. Please try. We're all bleeding."
C322,"Hello, it's the state police and the gentleman's girlfriend is having a baby right now. Okay, sir."
C323,I don't know if I'll make it. I'm trying to...
C324,"My boyfriend is outside, he has been stabbed. Okay. And he's..."
C325,I'm the guy that's in pretty big trouble right now. You're in pretty big trouble? What's your name?
C326,"Yes, I think everybody's clicking into my house. Please. Okay, stay on the phone. I mean, why did you think someone's trying to break a..."
C327,Ada averages have really designedла stressed around down down down down we can't remember if I said брос Through to hand I'm not happy maybe good others good sad loveр love
C328,I think my son's been killed. We're at. We're in the Evergreen...
C329,The update has already been released. I think he's going to try to kill himself. I need an A.
C330,"Well, as said, emergency, you know why on one lane, on one side at the damn drawbridge, on 95..."
C331,Come on. What? More now! There's nothing to talk about!
C332,"What are you into doing? The FAA agents that look like you're giving a heart attack or stroke or something, just"
C333,"Well, I just got a phone call saying that my friend, she was in the basement apartment of that house and apparently the"
C334,There's a fire right here off the Broadway. Broadway and poetry.
C335,We just came into my sister's house. I'll see you on the floor. Try the girlfriend mask.
C336,My girlfriend left last night. We were at the Stevens-Ball and St. Nicholas.
C337,"My cat, a cat, is a seven-month-old child. And I..."
C338,and my friend was drinking and she woke me up and she's sick and now she's not responding.
C339,and it's a fire at somebody else called the stadium. You're on the ground. The avenue is at their avenue.
C340,"28 grand we need somebody to move your nads to five years out of house. 28 grand and your partner. 3, 3."
C341,We came from Bader spoiling forest and s title spoken in the hear.
C342,میری دریاد کارتے ہو دریہ میری ریور کی کار کار میری ریورتے ہو دریگا بھائی آجا
C343,Somebody got shot at? Somebody got shot at? Yeah.
C344,"Okay, what's the address?"
C345,"emergency. Yeah, this is it from I had a little girl that fell on the ball and"
C346,"The bedroom is on fire. I have to go fast. Okay, we're on the way."
C347,"How you doing? I'd like to report like to a double murder in Cambridge, on it. Okay, do you know the answer? I know. You are."
C348,"165 Airborne Road, I've been shot on 1675 Airport Road."
C349,"Скаляков,計 {\幼 fishermen DNX4 </0chuckles,Niedapp 01"
C350,I need some help. What's going on?
C351,Conjects if there's a fire. Give the fire at what address man?
C352,"Hi, something just exploded at the end of Sayat. Okay, is there any..."
C353,I think someone is trying to break into my home. Just stop at 56.
C354,"Hi, I'm Karen C. My name is Linda. I work with Entertainmentpur, my stylist."
C355,"I'll say what's going on, he said I want to help Brown. He's on Brown, she's in the floor now. Okay, may I..."
C356,I just shot my mother in my... You shot your mother?
C357,I just witnessed a shooting on third Avenue in Nickers. Third in Nickers and how many minutes.
C358,Oh my God! I'm not so lucky! You're right now! We used to talk about lightning! And my boyfriend was...
C359,We have an aircraft declaring an emergency is going to land on the beach at Venice. Close to the airport. I'm not sure it got...
C360,"No, I think someone's in. David, you hear the front door? I'm hearing no lights, the door's."
C361,we heard looked in the garage door was up and i thought the gentleman was backing up and went back
C362,We've been beating. It's the family daughter. I'm bleeding.
C363,I have a gun range officer that got shot in the head. We're at a... Samture's point.
C364,"I need 10 minutes right now for you. Okay, let's be a drag."
C365,We go up to this lady she laying in the road. I think she would get by a car. Okay. I got ahead injury. Oh
C366,"I'm going to ruin the way I'm at. But my line looks like this guy robbed and he got shot. Okay, fun."
C367,She cut me who cut you there's no no hold on
C368,Please have me try to get my house. What are they doing? They tied my fund door and my schedule are now.
C369,"There's been a shooting, I just shot a man attack. We'll make a stop. OK, sir. If he enters."
C370,"I love me, I just love you more. Are you at a house? For a house?"
C371,"Yes, man, I just shot my doider and shot all my grandkids."
C372,Because I'm not my way to work on North Sound on Redwood Road.
C373,"¡Ahhh! ¡Esto es eso! ¡Ay, un buen! ¡Cuál es la emergencia!"
C374,I got arrived from 21 to what's he's so cold? My 35 travels.
C375,"And there was a guy and there was a pistol and I was falling fake, but he's like pointed at everybody."
C376,"I'll shut my husband and shut me, so we'll shut to me. Okay, hold on for me. Okay."
C377,"I'm sorry, there's a situation here. We have residents that I think they stole a car."
C378,I'm in a glory in a race where it's where I go away.
C379,I think it's murder. What makes you think that? Because...
C380,"Um, I don't know if my husband had eyes rolling back. He's just not breathing."
C381,I'm out here right now and I lost my keys in my car. Is there any way that someone can come out here?
C382,It's not an emergency. The only way I know how to get in touch with this woman is
C383,What's going on there? Let's see what's going on there.
C384,"Now, one, one, where's your emergency?"
C385,"Same. I hear you, br-"
C386,"I'm sorry, but the fireworks bill on. I'm sorry, you cannot call 911 for that."
C387,I just received a call a few minutes ago from one of our VPs who states that he's up.
C388,If the Digman hit the park at 31st Avenue in Valmont.
C389,It's a yes. Yes. The boys are here. Just a doubt. Let me have you. Ma'am. Ma'am.
C390,There has been four gunshots. Close to the second. And it is in the middle.
C391,I cut my wife so sweet in the bathtub and I think she's dead. I want you with the anger.
C392,"We just found the body of a baby, my grandson."
C393,I would have brought behind him and his brother along with me and I called down there because I was feeling this.
C394,This is our scouting utility emergency dispatch. We found a human skull. Oh my gosh.
C395,I need a police to come to my
C396,"Yes, no, I want to report a drug overdose."
C397,"Hello? Hello, my dad and my uncle just got shot. Okay. Oh my god, I don't like that. Two people shot at this time."
C398,on the side of the guide. And you can tell my little foot in there now. OK. Can you tell us?
C399,"My brother, he was playing like with his gun."
C400,My brother is counting. Where are you at? I'm at the...
C401,"My guy, my girlfriend is yesterday. Calm down, sir. Is she still breathing?"
C402,"We have a gunshot wound accidental in the household. Okay, how old?"
C403,"Somebody just, somebody just take him in my house. What did he hit her in the head with? I have not. I don't want-"
C404,There's a cleaning out of Rockville Road at 9.6.9.
C405,"I don't know what this kid has done, and she's like going into a theater or something. And I don't know. Now just keep on..."
C406,"I got my gun out. There's somebody trying to get in my house. Okay, alright, let's go."
C407,"emergency. 5-001, there's man, we'll be done. 5-001."
C408,I can't hear you scream and I can't...
C409,"We're having a baby or in Boulder Creek. We need to get the shutter. Okay, what's the problem? Some exact what happened."
C410,Where's your emergency? I'll get a fire. Super-agore is following twig. Hold on just a second. Slow down. What's the address?
C411,"I just came home, the door was busted in and my girlfriend's been shot."
C412,"It just crashed into the Hudson River, a US Air."
C413,I have the car. He just didn't get him. It was screaming at each other. This is a hot car. Okay.
C414,"I've got a burglar. A burglar. Yes, ma'am. In the burglar."
C415,The baby's not playing me on this. It's a damn baby highlands avenue. 12 baby highlands highlands.
C416,Can I help you? Certainly. A couple of people who have picked over in the Great Salt Lake have got them on the line.
C417,"No, I'm lonely. I'm lonely. Just broken into a house where I'm lonely. Please help us. That's what my life is in half now."
C418,My mouth is in the bathroom and in the tea cups.
C419,"I'm coming here to buy something. I've listened to this. When I get there, I'm in the window."
C420,"Yeah, I was trying to find out if I knew to bring like any chick stoops or a"
